Number	Word 1	Word 2	Frequency	TScore	ChiScore
1	alimentary	canal	28	5.287566460828277	29539.132504049536
2	dorsal	aorta	27	5.185200601968607	11690.270776028246
3	spinal	cord	27	5.193225945675909	35538.77273560754
4	Diagram	Sheet	24	4.889734253102459	11620.648017876
5	body	cavity	22	4.662643971814108	3584.9248212716866
6	portal	vein	21	4.575010827590203	11624.171028977022
7	vena	cava	21	4.581276048344467	48129.198075468405
8	middle	line	19	4.354012403777795	15070.667766258424
9	vertebral	column	19	4.356748488942904	30077.272465289905
10	nervous	system	18	4.237711119455816	13905.512929165623
11	gill	slits	17	4.120758134203826	24521.00612693756
12	otic	capsule	17	4.121057968085505	27398.673785011157
13	connective	tissue	15	3.8691399112221587	13607.056952149907
14	nerve	fibers	14	3.7296777215916035	4218.7329196434775
15	carbon	dioxide	13	3.604948255734029	49659.99931719158
16	cava	inferior	13	3.6018987902118016	11723.424235842172
17	dorsal	view	13	3.5879059384967156	2585.580082941626
18	internal	ear	13	3.596913156104034	5201.919516118184
19	lower	jaw	13	3.598946133118852	6730.860507425556
20	First	Edition	12	3.4630520379612775	30744.594851142447
21	aortic	arch	12	3.459697547153974	8819.345362939977
22	nasal	passage	12	3.461758942631303	15705.826478141436
23	pelvic	girdle	12	3.4618471082219835	16247.52500148908
24	urinary	bladder	12	3.4624390771879785	21147.998017542242
25	ventral	side	12	3.437404247796297	1519.5582075346776
26	body	wall	11	3.27931929740323	951.9294911733621
27	connective	tissue	11	3.3131540626677336	9755.707223876158
28	cranial	nerves	11	3.3124700005395242	8242.010424855673
29	hepatic	vein	10	3.155236587798166	4336.420666662861
30	membrane	bones	10	3.152366807016953	3103.047010664444
31	yolk	sac	10	3.1566438841427997	5380.549006213593
32	jugular	vein	9	2.99523709747674	5434.969604652696
33	metameric	segmentation	9	2.998625670865517	17182.998854711128
34	periotic	bone	9	2.993797317367346	4209.156185024664
35	pituitary	body	9	2.9946989978398957	4903.427477498067
36	truncus	arteriosus	9	2.99960976299416	46029.49540235044
37	Draw	diagrams	8	2.826354995376682	10107.622288531202
38	Second	Edition	8	2.8276455801731375	23913.042871208057
39	brain	case	8	2.811963175275971	1347.1400785078063
40	branchial	arches	8	2.824735337165991	5856.640935186169
41	cardinal	sinus	8	2.826925732079497	13574.91265604848
42	carotid	artery	8	2.820169443543472	2674.2728732943287
43	germinal	area	8	2.827223954861148	16536.901325158677
44	mammalian	skull	8	2.8216811245401168	3262.5752765788698
45	optic	nerve	8	2.8182361372348375	2173.1624190767507
46	outer	layer	8	2.8255683042457753	7473.9592044043375
47	primitive	streak	8	2.8276198713126504	23279.66064499958
48	pulmonary	artery	8	2.822436965038439	3665.0452376515595
49	vertebrate	types	8	2.8243342789423913	5303.7307668922085
50	Mullerian	duct	7	2.643511390654509	7792.76549126081
51	common	carotid	7	2.641169777023182	3916.5108064715887
52	development	proceeds	7	2.6422031651985094	5020.713093547658
53	gall	bladder	7	2.6448855770578703	18508.5379407599
54	gastric	juice	7	2.645281342742038	30627.035831995585
55	genital	ducts	7	2.64421497409303	11075.47313841702
56	higher	types	7	2.6413346793915853	4058.920190463323
57	pineal	gland	7	2.6440006010141057	9817.570817733416
58	upper	jaw	7	2.641604019926644	4315.173711932767
59	young	rabbit	7	2.6130484264648004	551.9975359862597
60	London	University	6	2.449121643633494	30940.349618958473
61	anterior	cardinal	6	2.4459630954421456	4036.706661724691
62	aortic	arches	6	2.4467764809726247	5202.998735648227
63	atrial	cavity	6	2.4426620563549477	2110.2168179273226
64	bilateral	symmetry	6	2.4492760087706653	45841.333158810725
65	bile	duct	6	2.4441463365200544	2687.4542966826325
66	branchial	arch	6	2.439087909717369	1388.432386380384
