Number	Word 1	Word 2	Frequency	TScore	ChiScore
1	external	world	125	11.117674619597127	20395.209148742648
2	plain	man	115	10.688063851737445	30343.38483778581
3	mental	phenomena	63	7.917856733830591	23366.32429645516
4	material	things	50	6.9835869880842125	3901.6244516918796
5	other	minds	36	5.93782968760783	3368.8722896604377
6	real	things	30	5.307383091002218	910.3342983334603
7	real	world	28	5.128674699075741	856.5395093515343
8	external	things	27	5.038527908282681	838.7615871099061
9	other	hand	27	5.169575885597747	5133.5623217029715
10	physical	phenomena	27	5.164577317830648	4324.36948396669
11	reflective	thought	26	5.091765795525741	17035.288527563083
12	special	sciences	26	5.091537307157606	16549.01083117257
13	other	words	24	4.864277339758636	3305.9808571172666
14	real	time	23	4.7133202460694	1288.97951083461
15	human	knowledge	22	4.670362490072366	5011.457813224173
16	telephone	exchange	22	4.688865828427724	52887.84759695987
17	objective	order	21	4.578203742321178	20255.96698752403
18	real	external	21	4.512701341693643	1332.5702414546688
19	common	life	20	4.459186847401858	6696.48257815933
20	other	men	19	4.240164554828827	660.8676451018703
21	infinite	number	18	4.238175696439905	16016.137642486028
22	material	world	18	4.105823838904123	524.2675671108586
23	real	space	18	4.15633565064081	849.1209722915503
24	philosophical	sciences	17	4.1028922132701355	3393.4560015195852
25	physical	world	17	3.9919533919160517	502.43890813917375
26	Professor	James	15	3.8706821863906318	22977.498265147544
27	same	time	15	3.8031652626972496	802.1172967272274
28	good	deal	14	3.739432187247939	21556.121555161757
29	common	experience	13	3.562442349143108	1059.5505308764546
30	common	sense	13	3.5770600733251023	1611.89045385495
31	point	out	13	3.6017912981016234	11877.693779735502
32	same	thing	13	3.542290741462213	715.0042990486854
33	Middle	Ages	12	3.4639401913062096	128761.0
34	last	chapter	12	3.457110907310011	5793.51679822956
35	make	clear	12	3.44256000345731	1894.4401070204772
36	shut	up	12	3.460395510413895	10735.595526324047
37	touch	things	12	3.3984319773203504	610.587685887006
38	material	thing	11	3.2487296807299093	515.8525513262213
39	present	day	11	3.3086102031093976	4455.495447144645
40	same	way	11	3.2782964350830213	928.3798253457663
41	such	questions	11	3.2977515748870485	1900.7326957441549
42	take	place	11	3.31067795569088	5976.206160806731
43	taken	up	11	3.3006084923835477	2239.0785571703523
44	visual	experiences	11	3.31115098629276	6481.726801339525
45	Herbert	Spencer	10	3.161508927186344	35463.470424547944
46	been	said	10	3.1268126827092844	870.7128473050511
47	external	thing	10	3.0690494651927582	320.028283024003
48	men	do	10	3.056987933613029	281.24576337398094
49	philosophical	reflection	10	3.1512894132577642	2829.264559365779
50	pointed	out	10	3.1594041150169634	10544.999286970364
51	single	experience	10	3.1493516106887545	2408.2995913746295
52	subjective	order	10	3.157095452894189	5946.114611186068
53	take	up	10	3.1414997034477863	1495.315430513843
54	John	Locke	9	2.9980337580556258	13025.733533327384
55	Sir	William	9	2.9997682983193776	80224.33818664993
56	certain	other	9	2.874099561777542	197.36211168437245
57	many	men	9	2.9394425412657363	428.39174290150993
58	nothing	more	9	2.984796885863742	1747.985229311386
59	space	relations	9	2.9639849915647885	731.2465889305964
60	visual	experience	9	2.986948233564007	2038.314845434399
61	Other	Minds	8	2.8281031103285446	54932.692965704075
62	been	called	8	2.796937185484303	702.1987636256537
63	been	made	8	2.776727387523631	422.10963118977367
64	human	body	8	2.8016271766414804	827.0445350961729
65	natural	light	8	2.8242313963170576	5269.87024152703
66	natural	science	8	2.805383563001562	963.9081588548449
67	other	things	8	2.390401722485208	37.13059905219991
68	outside	world	8	2.8073853215223945	1059.3198380524925
69	philosophical	doctrine	8	2.7735696065922766	396.96150012776224
70	reflective	analysis	8	2.8245334449278827	5670.734124314319
71	same	sort	8	2.803725041538485	898.3217214810749
72	whole	body	8	2.7923844891502276	611.525281624351
73	Common	Sense	7	2.6455326191251616	63726.09066039741
74	English	translation	7	2.6455150062727926	60084.73313036231
75	Professor	Pearson	7	2.6442380744760445	11676.129295880242
76	William	Hamilton	7	2.6452126523071255	30325.9515434648
77	apparent	time	7	2.614648482496233	581.4460270135935
78	been	attained	7	2.625568450964973	902.264815975873
79	common	thought	7	2.6197738225355933	698.0791241478612
80	finite	minds	7	2.6383818010633737	2478.432399198243
81	human	mind	7	2.567481263852224	223.45084184319012
82	last	section	7	2.6300010188111553	1157.9719873879144
83	next	chapter	7	2.641396534293856	4172.612072289389
84	own	ideas	7	2.596612921670443	363.2198374766803
85	physical	sciences	7	2.595920149477265	357.9919612851194
86	physical	things	7	2.4246527730417364	70.70347509223419
87	possible	relations	7	2.6317329492941	1301.8775118435315
88	real	thing	7	2.5190605972146254	132.87015487669498
89	sensory	nerves	7	2.644819298604219	18439.514395887363
90	special	science	7	2.6258502566028756	914.7929534526728
91	such	statements	7	2.6240302618580857	837.6250235334556
92	such	things	7	2.2685324496434927	36.30837628019407
93	world	revealed	7	2.6187170513934572	672.1102332545106
94	Chapter	II	6	2.4479424596614106	9152.06381683716
95	Chapter	IV	6	2.446474442462199	4774.293159459732
96	Chapter	XVI	6	2.4480914808457794	10091.60772953241
97	anything	more	6	2.4328532720781544	869.4435555062771
98	apparent	extension	6	2.4458371390992584	3952.06493574843
99	beaten	path	6	2.448849269421615	21063.217929933937
100	built	up	6	2.4462651786713825	4470.956878395281
