Number	Word 1	Word 2	Frequency	TScore	ChiScore
1	United	States	41	6.401801120061063	124884.93072502765
2	church	property	27	5.185306987530411	12421.589446392563
3	Miss	K	23	4.79538541838908	142622.3370776987
4	CHURCH	PROPERTY	22	4.689998220431677	142581.1534042115
5	FAIR	TAXATION	22	4.690109566934777	168509.0
6	long	term	21	4.580540496328181	41448.66536198701
7	American	Mandate	19	4.358368637746592	106715.3992143945
8	Persian	Gulf	19	4.358627326879228	160082.59989287195
9	George	Bush	18	4.242167889823245	109186.99121775746
10	New	American	18	4.240936922526841	39544.82416484539
11	Jane	Alice	17	4.122739309596679	122047.85660215917
12	such	things	17	4.082649801036724	1693.4642249161736
13	tax	exemption	17	4.120814863490667	28032.959340659905
14	whole	business	17	4.11143013004923	5871.019766488751
15	health	care	16	3.998103873325851	30663.23621356075
16	Soviet	Union	15	3.872764993875976	148682.64690172244
17	find	out	15	3.8582615473554545	3876.110211762499
18	nuclear	power	15	3.8625781040219422	5468.2216099622065
19	such	cases	15	3.8560412099008072	3370.086078413981
20	whole	thing	15	3.8603730898071476	4519.973030010015
21	young	girl	15	3.823532956553436	1143.5560150451
22	White	House	14	3.7414131304015705	131059.44418594682
23	economic	system	14	3.716562095150374	2050.09595732625
24	new	world	14	3.689661817012749	978.8780422776982
25	same	thing	14	3.7241198678700544	2936.5631000570856
26	same	time	14	3.7016844649068052	1280.13916501273
27	do	anything	13	3.5766208824367114	1589.3196640780668
28	other	hand	13	3.595975846346047	4806.397945541227
29	Mrs.	C	12	3.463433479065889	52512.934343971996
30	great	deal	12	3.45970218381568	9175.146571802308
31	human	beings	12	3.462888689401258	31098.829984743472
32	public	service	12	3.4569696696172936	5711.015243555256
33	such	matters	12	3.447716811193794	2498.147093783826
34	Saddam	Hussein	11	3.3165165365882436	168508.99999999997
35	capital	gains	11	3.3157811146967844	38316.12148021094
36	do	something	11	3.2865843288015593	1190.2558780923584
37	electronic	surveillance	11	3.316389492903831	106191.42157281931
38	next	day	11	3.310192981930296	5560.791892604024
39	several	years	11	3.3089386492151793	4662.787622363655
40	Clinton	Administration	10	3.1621838276556615	168508.99999999997
41	War	II	10	3.1616058108016043	41291.2739164206
42	energy	policy	10	3.1548422629378954	4183.300667670471
43	sex	life	10	3.138567710475608	1310.4184164262738
44	young	girls	10	3.1373891566303223	1247.6389881308223
45	American	people	9	2.941387323049179	443.1913100701907
46	New	York	9	2.9992611483979235	32961.91265681846
47	World	War	9	2.998608346840462	18333.72582062588
48	astral	planes	9	2.999296755755603	34457.93135694444
49	creative	impulses	9	2.9984184409328374	16236.675234178254
50	first	initiation	9	2.9961336354817227	6829.728647990682
51	first	place	9	2.9874513747674882	2122.3542092367434
52	fossil	fuels	9	2.9999020808361583	151657.19995192875
53	internal	affairs	9	2.998157320309853	14030.416827374927
54	middle	class	9	2.999439185186322	42118.99953265189
55	much	money	9	2.9659128797443435	773.5611568941799
56	other	nations	9	2.967748636851386	818.670854722075
57	public	control	9	2.988830170784308	2384.4859899654007
58	sex	act	9	2.9965905965719455	7724.481369632622
59	take	care	9	2.992262324427324	3438.672969488702
60	useful	public	9	2.9938567427767597	4324.388503046409
61	world	order	9	2.964947524713916	752.0439536859752
62	Cold	War	8	2.828091417151593	56164.333080120196
63	United	Nations	8	2.8274745529821996	22182.781517150048
64	been	done	8	2.7775589115200243	429.47536081433617
65	been	married	8	2.796285145233766	688.2569575086944
66	foreign	power	8	2.815237982111775	1692.7152854371523
67	material	goods	8	2.826605907519175	11971.485017366067
68	mental	body	8	2.82500289994973	6468.349285867402
69	other	people	8	2.705612406865212	168.9775284469933
70	physical	body	8	2.8247846894952504	6086.989963239054
71	possessive	impulses	8	2.827487142046881	22457.99977538949
72	public	schools	8	2.8208778830890897	2957.6290548738675
73	young	women	8	2.7890149603801957	558.1820867722897
74	American	companies	7	2.633682638224271	1515.1370575161222
75	Third	World	7	2.645180458111831	29587.795408159855
76	Wall	Street	7	2.645572990004207	79389.55750702079
77	Warsaw	Pact	7	2.645696357170383	168509.00000000003
78	carbon	dioxide	7	2.645696357170383	168509.00000000003
79	corporate	America	7	2.6310156643954943	1239.6928749136541
80	economic	justice	7	2.6350935099974415	1717.1407117599967
81	go	home	7	2.61396856506942	568.631213358007
82	go	out	7	2.584840455615683	290.5190621155992
83	good	reason	7	2.6182168816646283	658.4041412769674
84	great	many	7	2.611353181146499	524.4239429688155
85	law	enforcement	7	2.6446555868957384	16087.70539236119
86	love	affair	7	2.6362509183201066	1925.7711597776138
87	most	men	7	2.6102742792023093	508.20695677400244
88	national	security	7	2.639095092260299	2747.679571920153
89	only	way	7	2.629400676038287	1116.323933931141
90	political	leadership	7	2.641849544625091	4669.725496289282
91	public	education	7	2.6311502467585948	1251.026255728053
92	third	world	7	2.6377313243142133	2283.0707042434524
93	trade	deficit	7	2.64389968262299	9703.911311503718
94	wanted	children	7	2.600667341516312	397.1033617158919
95	whole	story	7	2.635775393970485	1833.8923776815711
96	year	old	7	2.6338531092175317	1536.7982063783136
97	young	doctor	7	2.6004430375778114	395.0646319204776
98	Mrs.	Garner	6	2.4487338444695834	18375.49078873074
99	New	Hampshire	6	2.4488646730910486	21974.217205525176
100	economic	power	6	2.3931244120903084	249.15254699712366
